Scenario,Global,Year,Bzone,Azone,Marea,SFDU,MFDU,GQDU,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4,TotEmp,RetEmp,SvcEmp,Latitude,Longitude,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU,UrbanArea,TownArea,RuralArea,D3bpo4,MixUseProp,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PropNonWrkTripPay,PkgCost,EcoProp,ImpProp,CarSvcLevel,D4c,SF,MF,GQ,Pop,NumHh,NumWkr,UrbanPop,TownPop,RuralPop,D1B,D1C,D1D,D2A_JPHH,D2A_WRKEMP,D2A_EPHHM,D5
SayedMM,,2019,100,ZNHPO1,HYPO,2660,1400,2,0.12,0.08,0.26,0.54,3127,2160,1080,42.4377677,-122.8148915,0.468694097,1,1,0,0,0,0.0875,0,0.1359375,0.261875689,,2,1.6,25,0.11,0,0,2.6,0.003,0,Low,0,1888,1002,46,7792,2936,2372,4789,0,3003,54.4895104895105,21.8671328671329,42.3986013986014,1.06505449591281,0.758554525103934,0.934057597148878,5064.95287894449
SayedMM,,2019,101,ZNHPO1,HYPO,2184,700,3,0.16,0.32,0.36,0.32,3764,1084,542,42.4034697,-122.8277637,0.886075949,1,1,0,0,0,0.14375,0,0.146875,0.483090076,,2,1.6,25,0.11,0,0,3.15,0.003,0.4,Low,0.1,1553,503,68,5528,2124,1667,5018,0,510,29.7204301075269,20.2365591397849,31.6559139784946,1.77212806026365,0.44287991498406,0.913794945114459,6425.19810072391
SayedMM,,2019,102,ZNHPO2,HYPO,1541,1050,1,0.24,0.34,0.26,0.16,1926,554,1109,42.422854,-122.8750241,0.862660944,1,1,0,0,0,0.121875,0,0.1703125,1.803813028,,2,1.6,0,0.11,0,0,0,0.003,0.4,Low,0,1918,1312,60,8610,3290,2573,7855,0,755,46.0427807486631,10.2994652406417,27.8930481283423,0.585410334346505,1.33592938733126,0.727587743720904,3556.88277178885
SayedMM,,2019,103,ZNHPO2,HYPO,1820,840,1,0.16,0.29,0.36,0.19,1237,641,534,42.4155163,-122.9265334,0.990613718,1,1,0,0,0,0.1953125,0,0.159375,18.97663013,,2,1.6,0,0.11,0,0,0,0.003,0,Low,1.03,2265,1050,60,9075,3375,2897,9012,0,63,39.9779735682819,5.44933920704846,20.3171806167401,0.366518518518519,2.34195634599838,0.58454342813161,2312.26561674242
SayedMM,,2019,104,ZNHPO1,HYPO,2282,630,2,0.29,0.27,0.15,0.29,1091,314,838,42.4346994,-123.0088014,0.014760148,1,1,0,0,0,0.00078125,0,0.10625,0.101303887,,2,1.6,0,0.11,0,0,0,0.003,0,Low,0,1620,451,46,5639,2117,1636,1097,0,4542,82.3211678832117,15.9270072992701,46.8321167883212,0.515351913084554,1.49954170485793,0.77591192996711,1828.27607726597
