Scenario,Global,Year,Azone,Marea,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus,AveHhSize,Prop1PerHh,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus,HHIncomePC,GQIncomePC,LtTrkProp,HighCarSvcCost,LowCarSvcCost,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp,AutoMeanAge,LtTrkMeanAge,VehOwnFlatRateFee,VehOwnAdValoremTax,PaydHhProp,PropSovDvmtDiverted,ElectricityCI,PropSFChargingAvail,PropMFChargingAvail,PropGQChargingAvail,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime,FuelCost,PowerCost,FuelTax,VmtTax,PevSurchgTaxProp,NumHh,NumGq,NumWkr
SayedMM,,2045,ZNHPO1,HYPO,9000,6750,6000,2400,1275,1035,2.7,0.33,0,95,96,0,0,0,0.35,0.78,0.82,0.65,0.2,38078.7747774155,8924.71283845675,0.34,1.18996171179423,3.5698851353827,1095,0.75,1,4380,4380,2181.22384209018,0.01,0.08,0,7.90997315978146,1,0.3,0,0.00347222,0.00694444,0.03124998,4.63966071428572,0.318148163265306,0.641598795918367,0,0,9779,191,8046
SayedMM,,2045,ZNHPO2,HYPO,8100,4500,6750,2475,1350,585,2.7,0.33,0,76,68,0,0,0,0.35,0.78,0.82,0.65,0.2,38078.7747774155,8924.71283845675,0.34,1.18996171179423,3.5698851353827,730,0.75,1,4380,4380,2181.22384209018,0,0.1,0,7.90997315978146,1,0.3,0,0.00347222,0.00694444,0.03124998,4.63966071428572,0.318148163265306,0.641598795918367,0,0,8774,144,8053
