Scenario,Global,Year,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
SayedMM,,2019,ZNHPO1-2,ZNHPO1-2-1,103,ZNHPO2,HYPO,7.08142408922568,1,0,0,0
SayedMM,,2019,ZNHPO1-3,ZNHPO1-3-1,100,ZNHPO1,HYPO,3.95742852170948,1,0,2.6,0
SayedMM,,2019,ZNHPO1-4,ZNHPO1-4-1,104,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2019,ZNHPO1-5,ZNHPO1-5-1,103,ZNHPO2,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2019,ZNHPO1-6,ZNHPO1-6-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-6,ZNHPO1-6-2,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2019,ZNHPO1-10,ZNHPO1-10-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-10,ZNHPO1-10-2,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-12,ZNHPO1-12-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-15,ZNHPO1-15-1,103,ZNHPO2,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2019,ZNHPO1-15,ZNHPO1-15-2,104,ZNHPO1,HYPO,15.2612610385063,1,0,0,0
SayedMM,,2019,ZNHPO1-17,ZNHPO1-17-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-18,ZNHPO1-18-1,101,ZNHPO1,HYPO,3.95742852170948,1,0,3.15,0
SayedMM,,2019,ZNHPO1-19,ZNHPO1-19-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-23,ZNHPO1-23-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-25,ZNHPO1-25-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2019,ZNHPO1-26,ZNHPO1-26-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-29,ZNHPO1-29-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-32,ZNHPO1-32-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2019,ZNHPO1-32,ZNHPO1-32-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-34,ZNHPO1-34-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2019,ZNHPO1-34,ZNHPO1-34-2,102,ZNHPO2,HYPO,11.0584679163333,0,0,0,0
SayedMM,,2019,ZNHPO1-36,ZNHPO1-36-1,103,ZNHPO2,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2019,ZNHPO1-37,ZNHPO1-37-1,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2019,ZNHPO1-38,ZNHPO1-38-1,103,ZNHPO2,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2019,ZNHPO1-39,ZNHPO1-39-1,103,ZNHPO2,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2019,ZNHPO1-39,ZNHPO1-39-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-39,ZNHPO1-39-3,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2019,ZNHPO1-41,ZNHPO1-41-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
