Year,DrvPerPrsn15to19,DrvPerPrsn20to29,DrvPerPrsn30to54,DrvPerPrsn55to64,DrvPerPrsn65Plus
2024,0.3908,0.8244,0.8695,0.8776,0.9181
2045,0.3300,0.7750,0.8350,0.8550,0.9300
