Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Grayson County,2045,1603,491,1259,4314,2122,4662
Greene County,2024,4013,1439,2200,6618,2828,3930
Greene County,2045,5028,1459,2780,8263,2857,4836
Greensville County,2024,1499,553,1588,4364,1454,1853
Greensville County,2045,1371,470,1286,4322,1634,2510
Halifax County,2024,5491,2050,3667,9005,4958,8551
Halifax County,2045,4982,1737,2970,9515,4263,8578
Hampton City,2024,24677,8897,21557,41389,18356,22147
Hampton City,2045,23585,8473,17659,41372,17240,22670
Hanover County,2024,19496,7676,11716,35446,16538,21381
Hanover County,2045,19632,6882,11173,40371,16627,33034
Harrisonburg City,2024,7459,8437,12856,13761,3961,5280
Harrisonburg City,2045,8053,8172,12982,16850,4370,7611
Henrico County,2024,61484,20818,41365,114460,42765,55925
Henrico County,2045,74508,23376,51139,127873,44398,70513
Henry County,2024,7924,2898,4883,14283,7827,12359
Henry County,2045,7459,2461,4103,13417,5619,13755
Highland County,2024,245,69,290,489,391,770
Highland County,2045,186,68,431,523,237,652
Hopewell City,2024,4987,1405,3070,7148,2966,3474
Hopewell City,2045,5369,1596,2273,8481,3668,4340
Isle of Wight County,2024,6812,2307,3951,12234,6505,7885
Isle of Wight County,2045,6918,2134,4210,14007,6997,11498
James City County,2024,12829,4608,7402,23087,11439,21666
James City County,2045,15017,4671,8062,29085,12334,37654
King and Queen County,2024,1020,299,592,2023,1156,1587
King and Queen County,2045,1079,322,615,2188,758,1838
King George County,2024,5686,1819,3134,9505,3769,3924
King George County,2045,7284,1976,3675,12784,4623,6806
King William County,2024,3525,1100,2149,5921,2583,3062
King William County,2045,3617,1065,2388,6774,2694,4393
Lancaster County,2024,1292,520,716,2317,1691,4312
Lancaster County,2045,1627,506,870,3010,1037,3610
Lee County,2024,3266,1127,2258,7218,3166,4995
Lee County,2045,2866,911,1688,7789,3295,5393
Lexington City,2024,428,1876,2297,1091,513,1223
Lexington City,2045,447,1791,2222,1293,450,1429
Loudoun County,2024,96746,31805,44435,169138,48477,46677
Loudoun County,2045,152057,41649,76719,250460,77415,140496
Louisa County,2024,6498,2041,4097,12049,6558,8076
Louisa County,2045,7493,2231,4674,14842,6523,10789
Lunenburg County,2024,1912,714,1064,3788,1720,2756
Lunenburg County,2045,1873,634,1192,3458,1453,2633
Lynchburg City,2024,12937,8870,19596,19101,7775,11273
Lynchburg City,2045,14773,8928,18596,25315,7269,11978
Madison County,2024,2287,892,1287,3984,2327,3194
Madison County,2045,2385,853,1211,4503,2221,3713
Manassas City,2024,9865,2857,5975,14964,5102,4534
Manassas City,2045,13215,3415,8248,20140,5839,8309
Manassas Park City,2024,3499,1227,2368,6577,1823,1675
Manassas Park City,2045,4687,1467,3269,8853,2086,3069
Martinsville City,2024,2944,1096,1371,3949,1837,2330
Martinsville City,2045,2771,931,1152,3710,1319,2593
Mathews County,2024,1003,482,707,2199,1368,2734
Mathews County,2045,1227,511,735,2551,790,2419
Mecklenburg County,2024,4572,1500,3118,8207,4835,8106
Mecklenburg County,2045,3817,1296,2543,8624,3802,8595
Middlesex County,2024,1442,438,960,2533,1828,3593
Middlesex County,2045,1608,471,1371,3386,1350,3345
Montgomery County,2024,12630,12628,24101,26914,9683,13733
Montgomery County,2045,14548,12477,23765,33651,10402,17291
Nelson County,2024,2220,596,1490,3762,2405,4325
Nelson County,2045,2564,642,1618,4117,2045,4354
New Kent County,2024,3914,1291,2466,8458,3686,4622
New Kent County,2045,4705,1663,2799,10189,4998,7522
Newport News City,2024,36470,12732,30543,58029,21862,25374
Newport News City,2045,36267,12429,29103,60715,23144,28675
Norfolk City,2024,41247,15036,50519,72423,26208,29592
Norfolk City,2045,40673,14744,45780,74243,29572,30279
Northampton County,2024,1839,622,1149,3010,2040,3423
Northampton County,2045,2167,552,1276,3712,1209,2911
Northumberland County,2024,1434,632,930,2423,2078,4547
Northumberland County,2045,1730,700,1096,3252,1114,3872
Norton City,2024,545,350,273,1294,401,748
Norton City,2045,505,305,217,1223,384,793
