Geo,Year,Latitude,Longitude
5.10011E+11,2024,37.96299382,-75.35046981
5.10011E+11,2024,37.91996673,-75.36691309
5.10011E+11,2024,37.92891183,-75.3752592
5.10011E+11,2024,37.90407321,-75.39750799
5.10011E+11,2024,37.9717519,-75.49395528
5.10011E+11,2024,37.98311893,-75.41157923
5.10011E+11,2024,37.91014286,-75.50652481
5.10011E+11,2024,37.83767561,-75.55093884
5.10011E+11,2024,37.80004153,-75.57565004
5.10011E+11,2024,37.74825458,-75.60184936
5.10011E+11,2024,37.67814716,-75.63103223
5.10011E+11,2024,37.64705298,-75.74043835
5.10011E+11,2024,37.97688261,-75.57052091
5.10011E+11,2024,37.91272317,-75.55859113
5.10011E+11,2024,37.92456445,-75.69441512
5.10011E+11,2024,37.88810771,-75.58922092
5.10011E+11,2024,37.86240597,-75.65965348
5.10011E+11,2024,37.83785353,-75.71300162
5.10011E+11,2024,37.78792026,-75.76843879
5.10011E+11,2024,37.79306486,-75.64863015
5.10011E+11,2024,37.74841209,-75.68150326
5.10011E+11,2024,37.70931122,-75.74435603
5.10011E+11,2024,37.86734044,-75.92724489
5.10011E+11,2024,37.69464823,-75.79952975
5.10011E+11,2024,37.67494756,-75.71007687
5.10011E+11,2024,37.61779222,-75.77017558
5.10011E+11,2024,37.65749386,-75.79204038
5.10011E+11,2024,37.6031845,-75.8759288
5.10011E+11,2024,37.62597615,-75.67913523
5.10011E+11,2024,37.54657284,-75.79165775
5.1002E+11,2024,37.94464911,-75.32696575
5.1002E+11,2024,37.89896204,-75.45250448
5.1003E+11,2024,38.03032086,-78.43907196
5.10011E+11,2024,37.53449252,-75.71771445
5.1002E+11,2024,37.75457351,-75.4500659
5.1002E+11,2024,37.73141775,-76.04787739
5.1003E+11,2024,38.20393242,-78.54088797
5.1003E+11,2024,38.17834335,-78.67875532
5.1003E+11,2024,38.12255129,-78.6075198
5.1003E+11,2024,38.17403638,-78.46076682
5.1003E+11,2024,38.10817215,-78.53293991
5.1003E+11,2024,38.15933059,-78.41543636
5.1003E+11,2024,38.17081469,-78.39244841
5.1003E+11,2024,38.05894654,-78.41515523
5.1003E+11,2024,38.13576186,-78.49172758
5.1003E+11,2024,37.98888629,-78.41410863
5.1003E+11,2024,38.13472053,-78.44312579
5.1003E+11,2024,38.13337073,-78.41604165
5.1003E+11,2024,38.000886,-78.39357706
5.1003E+11,2024,38.04074159,-78.43092379
5.1003E+11,2024,38.02295373,-78.44395063
5.1003E+11,2024,38.10250169,-78.44225161
5.1003E+11,2024,38.12402539,-78.43254794
5.1003E+11,2024,38.11388529,-78.43792774
5.1003E+11,2024,38.1137624,-78.35659993
5.1003E+11,2024,38.03000202,-78.35155072
5.1003E+11,2024,37.9808241,-78.35748554
5.1003E+11,2024,38.09127564,-78.27558581
5.1003E+11,2024,38.0359542,-78.44877344
5.1003E+11,2024,38.07199238,-78.45243175
5.1003E+11,2024,38.07040363,-78.4743963
5.1003E+11,2024,38.0820311,-78.45721464
5.1003E+11,2024,38.07146551,-78.49618129
5.1003E+11,2024,38.06206118,-78.50247797
5.1003E+11,2024,38.05755382,-78.51673164
5.1003E+11,2024,38.08053829,-78.50286643
5.1003E+11,2024,38.07795487,-78.67498931
5.1003E+11,2024,38.06902037,-78.70092211
5.1003E+11,2024,38.08569491,-78.70861374
5.1003E+11,2024,38.05728097,-78.68086489
5.1003E+11,2024,38.05064996,-78.70478414
5.1003E+11,2024,37.97046394,-78.70569259
5.1003E+11,2024,37.94024853,-78.63867538
5.1003E+11,2024,38.01421791,-78.53566089
5.1003E+11,2024,37.99791478,-78.58981552
5.1003E+11,2024,37.98325693,-78.51881681
5.1003E+11,2024,37.88360452,-78.51808091
5.1003E+11,2024,37.95552386,-78.55605332
