Geo,Year,FwyLaneMi,ArtLaneMi
Norfolk City,2024,145.38,646.2
Norfolk City,2045,145.38,646.2
Northampton County,2024,0,159.95
Northampton County,2045,0,159.95
Northumberland County,2024,0,111.44
Northumberland County,2045,0,111.44
Norton City,2024,0,21.36
Norton City,2045,0,21.36
Nottoway County,2024,0,222.09
Nottoway County,2045,0,222.09
Orange County,2024,0,187.52
Orange County,2045,0,187.52
Page County,2024,0,146.83
Page County,2045,0,146.83
Patrick County,2024,0,239.1
Patrick County,2045,0,239.1
Petersburg City,2024,58.02,224.94
Petersburg City,2045,58.02,224.94
Pittsylvania County,2024,0,551.68
Pittsylvania County,2045,0,552.73
Poquoson City,2024,0,11.34
Poquoson City,2045,0,11.34
Portsmouth City,2024,34.26,263.16
Portsmouth City,2045,34.26,263.16
Powhatan County,2024,0,137.62
Powhatan County,2045,0,149.83
Prince Edward County,2024,0,222.38
Prince Edward County,2045,0,222.38
Prince George County,2024,136.77,190.51
Prince George County,2045,136.77,190.51
Prince William County,2024,205.64,395.41
Prince William County,2045,225.41,395.41
Pulaski County,2024,70.16,101.15
Pulaski County,2045,70.16,101.15
Radford City,2024,0,78.18
Radford City,2045,0,78.18
Rappahannock County,2024,0,141.45
Rappahannock County,2045,0,141.45
Richmond City,2024,105.66,879.66
Richmond City,2045,105.66,879.66
Richmond County,2024,0,110.16
Richmond County,2045,0,110.16
Roanoke City,2024,33.06,411.6
Roanoke City,2045,33.06,411.6
Roanoke County,2024,106.09,217.11
Roanoke County,2045,106.09,217.74
Rockbridge County,2024,192.52,280.08
Rockbridge County,2045,192.52,288.73
Rockingham County,2024,108.4,428.85
Rockingham County,2045,108.4,428.85
Russell County,2024,0,296.09
Russell County,2045,0,296.09
Salem City,2024,2.34,123.66
Salem City,2045,2.34,123.66
Scott County,2024,0,293.22
Scott County,2045,0,293.22
Shenandoah County,2024,140.44,204.85
Shenandoah County,2045,140.44,228.26
Smyth County,2024,93.44,180.88
Smyth County,2045,93.44,180.88
Southampton County,2024,0,281.91
Southampton County,2045,0,281.91
Spotsylvania County,2024,93.42,224.29
Spotsylvania County,2045,93.42,235.4
Stafford County,2024,121.56,172.05
Stafford County,2045,149.81,172.05
Staunton City,2024,0,141.6
Staunton City,2045,0,141.6
Suffolk City,2024,33.78,786.96
Suffolk City,2045,33.78,786.96
Surry County,2024,0,97.36
Surry County,2045,0,97.36
Sussex County,2024,70.4,221.82
Sussex County,2045,70.4,221.82
Tazewell County,2024,0,365.2
Tazewell County,2045,0,375.87
Virginia Beach City,2024,86.22,1055.58
Virginia Beach City,2045,86.22,1055.58
Warren County,2024,63.49,93.1
Warren County,2045,63.49,93.1
Washington County,2024,161.01,268.25
Washington County,2045,185.42,273.13
Waynesboro City,2024,15.48,110.34
Waynesboro City,2045,15.48,110.34
Westmoreland County,2024,0,141.43
Westmoreland County,2045,0,141.43
Williamsburg City,2024,0,86.28
Williamsburg City,2045,0,106.32
Winchester City,2024,0.42,104.64
Winchester City,2045,0.42,104.64
Wise County,2024,0,339.07
Wise County,2045,0,340.86
Wythe County,2024,196.67,143.09
Wythe County,2045,196.67,143.62
York County,2024,292.95,160.83
York County,2045,361.03,172.51
