GeoIDTxt,Urban,Town,Rural
510110403002,0.00,4601.71,4601.71
510110403003,0.00,13352.67,13352.67
510110403004,0.00,7851.07,7851.07
510131001001,171.11,0.00,0.00
510131001002,91.55,0.00,0.00
510131001003,121.92,0.00,0.00
510131001004,146.37,0.00,0.00
510131002001,130.81,0.00,0.00
510131002002,260.02,0.00,0.00
510131002003,68.97,0.00,0.00
510131002004,119.49,0.00,0.00
510131002005,193.51,0.00,0.00
510131003001,249.38,0.00,0.00
510131003002,204.50,0.00,0.00
510131003003,158.49,0.00,0.00
510131003004,105.52,0.00,0.00
510131003005,275.54,0.00,0.00
510131004001,249.91,0.00,0.00
510131004002,115.74,0.00,0.00
510131004003,275.54,0.00,0.00
510131005001,107.52,0.00,0.00
510131005002,101.35,0.00,0.00
510131005003,178.34,0.00,0.00
510131005004,124.43,0.00,0.00
510131006001,100.40,0.00,0.00
510131006002,79.35,0.00,0.00
510131006003,67.90,0.00,0.00
510131007001,59.83,0.00,0.00
510131007002,66.61,0.00,0.00
510131007003,71.72,0.00,0.00
510131007004,76.06,0.00,0.00
510131007005,37.37,0.00,0.00
510131007006,55.47,0.00,0.00
510131008001,54.71,0.00,0.00
510131008002,49.93,0.00,0.00
510131009001,167.08,0.00,0.00
510131009002,86.49,0.00,0.00
510131009003,80.26,0.00,0.00
510131009004,65.20,0.00,0.00
510131010001,63.17,0.00,0.00
510131010002,57.21,0.00,0.00
510131010003,69.09,0.00,0.00
510131010004,68.09,0.00,0.00
510131011001,91.58,0.00,0.00
510131011002,89.57,0.00,0.00
510131011003,140.97,0.00,0.00
510131011004,72.72,0.00,0.00
510131011005,75.02,0.00,0.00
510131012001,160.17,0.00,0.00
510131012002,69.69,0.00,0.00
510131012003,74.04,0.00,0.00
510131013001,110.06,0.00,0.00
510131013002,61.97,0.00,0.00
510131013003,70.45,0.00,0.00
510131013004,79.26,0.00,0.00
510131013005,122.67,0.00,0.00
510131013006,90.21,0.00,0.00
510131014011,63.95,0.00,0.00
510131014021,30.37,0.00,0.00
510131014022,82.95,0.00,0.00
510131014051,4.90,0.00,0.00
510131014052,9.33,0.00,0.00
510131014061,5.74,0.00,0.00
510131014062,12.70,0.00,0.00
510131014063,25.34,0.00,0.00
510131014071,7.21,0.00,0.00
510131014072,8.24,0.00,0.00
510131014073,9.76,0.00,0.00
510131014081,8.95,0.00,0.00
510131014082,17.20,0.00,0.00
510131014091,12.03,0.00,0.00
510131014092,13.97,0.00,0.00
510131015011,32.95,0.00,0.00
510131015012,24.46,0.00,0.00
510131015013,11.62,0.00,0.00
510131015021,40.08,0.00,0.00
510131015022,79.96,0.00,0.00
510131015023,37.10,0.00,0.00
510131015031,115.53,0.00,0.00
510131015032,64.30,0.00,0.00
510131015033,18.26,0.00,0.00
510131016011,16.36,0.00,0.00
510131016012,69.06,0.00,0.00
510131016021,22.50,0.00,0.00
510131016022,28.68,0.00,0.00
510131016031,25.15,0.00,0.00
510131016032,10.09,0.00,0.00
510131016033,44.40,0.00,0.00
510131016034,24.57,0.00,0.00
510131016035,7.57,0.00,0.00
510131017011,20.82,0.00,0.00
510131017012,21.81,0.00,0.00
510131017013,17.27,0.00,0.00
510131017031,27.66,0.00,0.00
510131017032,34.22,0.00,0.00
510131017041,12.07,0.00,0.00
510131017042,11.77,0.00,0.00
510131017051,26.19,0.00,0.00
510131017052,11.22,0.00,0.00
510131017053,29.03,0.00,0.00
510131018011,18.71,0.00,0.00
510131018012,26.33,0.00,0.00
510131018013,24.58,0.00,0.00
510131018031,49.11,0.00,0.00
510131018032,28.18,0.00,0.00
510131018033,50.79,0.00,0.00
510131018034,107.28,0.00,0.00
510131018041,21.62,0.00,0.00
510131018042,26.67,0.00,0.00
510131018051,28.99,0.00,0.00
510131018052,8.73,0.00,0.00
510131018053,11.69,0.00,0.00
510131019001,61.28,0.00,0.00
510131019002,160.16,0.00,0.00
510131019003,52.47,0.00,0.00
510131020011,25.10,0.00,0.00
510131020012,26.83,0.00,0.00
510131020021,40.15,0.00,0.00
510131020031,62.74,0.00,0.00
510131020032,40.30,0.00,0.00
510131020033,47.68,0.00,0.00
510131021001,60.06,0.00,0.00
510131021002,165.74,0.00,0.00
510131022001,46.64,0.00,0.00
510131022002,29.61,0.00,0.00
510131022003,28.35,0.00,0.00
510131022004,27.07,0.00,0.00
510131022005,39.23,0.00,0.00
510131023011,92.13,0.00,0.00
510131023012,116.59,0.00,0.00
510131023021,68.98,0.00,0.00
510131023022,132.16,0.00,0.00
510131023023,68.29,0.00,0.00
510131024001,46.19,0.00,0.00
510131024002,68.63,0.00,0.00
510131024003,52.43,0.00,0.00
510131024004,71.21,0.00,0.00
510131025001,110.46,0.00,0.00
510131025002,86.58,0.00,0.00
510131025003,69.79,0.00,0.00
510131026001,95.18,0.00,0.00
510131026002,73.22,0.00,0.00
510131027011,59.82,0.00,0.00
510131027012,38.54,0.00,0.00
510131027021,29.56,0.00,0.00
510131027022,29.27,0.00,0.00
510131028021,113.49,0.00,0.00
510131028031,5.97,0.00,0.00
510131028032,12.04,0.00,0.00
510131028033,83.98,0.00,0.00
510131028041,34.29,0.00,0.00
510131028042,55.40,0.00,0.00
