Geo,Year,EcoProp,ImpProp
5.10594E+11,2024,0.003,0.009
5.16003E+11,2024,0.003,0.009
5.16003E+11,2024,0.003,0.009
5.16003E+11,2024,0.003,0.009
5.16003E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.15102E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.16839E+11,2024,0.003,0.009
5.16839E+11,2024,0.003,0.009
5.16839E+11,2024,0.003,0.009
5.16839E+11,2024,0.003,0.009
5.16839E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10595E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10131E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
5.10594E+11,2024,0.003,0.009
